workload,predictor,trial,mode,threshold,alpha,top_k,total_accesses,l1_hit_rate,l2_hit_rate,l3_hit_rate,dram_access_rate,total_cycles,raw_memory_cycles,average_memory_latency,average_access_latency,top1_accuracy,topk_accuracy,prediction_attempts,prefetch_requests,prefetches_issued,prefetches_completed,dropped_prefetches,useful_prefetches,late_prefetches,unused_prefetches,duplicate_prefetches,prefetch_precision,prefetch_coverage,bandwidth_bytes,pollution_misses,cache_evictions_caused_by_prefetching,predictor_lookup_overhead,predictor_update_overhead,prefetch_overhead,latency_saved_by_useful_prefetches,net_latency_benefit,context_reuse_ratio,fallback_count,unseen_context_count,mean_context_observations,mean_context_entropy,entries,nodes,edges,counters,weights,estimated_bytes,bytes_per_transition,speedup_over_none,speedup_over_nextline,speedup_over_stride,speedup_over_markov
Sequential,None,0,train_test,0.05,0.25,3,109,0.0,0.0,0.0,1.0,16350,16350,150.0,150.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,45,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,1.0,1.0333333333333334,1.0333333333333334,1.0066666666666666
Sequential,NextLine,0,train_test,0.05,0.25,3,109,1.0,0.0,0.0,0.0,16895,436,4.0,155.0,1.0,1.0,109,109,109,109,0,109,109,0,0,1.0,1.0,872,0,45,109,0,109,0,0,0.0,0,109,0.0,0.0,0,0,0,0,0,0,0.0,0.967741935483871,1.0,1.0,0.9741935483870968
Sequential,Stride,0,train_test,0.05,0.25,3,109,1.0,0.0,0.0,0.0,16895,436,4.0,155.0,1.0,1.0,109,109,109,109,0,109,109,0,0,1.0,1.0,872,0,45,109,0,109,0,0,0.0,0,109,0.0,0.0,1,1,1,1,0,16,16.0,0.967741935483871,1.0,1.0,0.9741935483870968
Sequential,Markov-1,0,train_test,0.05,0.25,3,109,0.0,0.0,0.0,1.0,16459,16350,150.0,151.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,45,109,0,0,0,0,0.0,0,109,0.0,0.0,250,250,250,250,250,6000,24.0,0.9933774834437086,1.0264900662251655,1.0264900662251655,1.0
Sequential,WAM depth=1,0,train_test,0.05,0.25,3,109,0.0,0.0,0.0,1.0,16459,16350,150.0,151.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,45,109,0,0,0,0,0.0,0,109,0.0,0.0,250,251,250,250,250,6000,24.0,0.9933774834437086,1.0264900662251655,1.0264900662251655,1.0
Sequential,WAM depth=2,0,train_test,0.05,0.25,3,109,0.0,0.0,0.0,1.0,16568,16350,150.0,152.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,45,218,0,0,0,0,0.0,0,109,0.0,0.0,499,500,499,499,499,11976,24.0,0.9868421052631579,1.019736842105263,1.019736842105263,0.993421052631579
Sequential,WAM depth=3,0,train_test,0.05,0.25,3,109,0.0,0.0,0.0,1.0,16677,16350,150.0,153.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,45,327,0,0,0,0,0.0,0,109,0.0,0.0,747,748,747,747,747,17928,24.0,0.9803921568627451,1.0130718954248366,1.0130718954248366,0.9869281045751634
Sequential,WAM depth=4,0,train_test,0.05,0.25,3,109,0.0,0.0,0.0,1.0,16786,16350,150.0,154.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,45,436,0,0,0,0,0.0,0,109,0.0,0.0,994,995,994,994,994,23856,24.0,0.974025974025974,1.0064935064935066,1.0064935064935066,0.9805194805194806
Sequential,WAM depth=8,0,train_test,0.05,0.25,3,109,0.0,0.0,0.0,1.0,17222,16350,150.0,158.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,45,872,0,0,0,0,0.0,0,109,0.0,0.0,1972,1973,1972,1972,1972,47328,24.0,0.9493670886075949,0.9810126582278481,0.9810126582278481,0.9556962025316456
Stride,None,0,train_test,0.05,0.25,3,109,0.0,0.0,0.0,1.0,16350,16350,150.0,150.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,45,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,1.0,1.0133333333333334,1.0333333333333334,1.0066666666666666
